proposta;id_x;titulo;votos;state;publicacao;comentarios;url;eixo;id_autor;processo;siglaUf;familiaBeneficiariaPBF;racaCor;gpte;idade_final;sex_final;log1p_votos;log1p_comentarios;cadunico;ocupacao_grupo;cluster_k3;regiao;faixaRendaFamiliarPerCapita;faixaEtaria
Aumentar significativamente a participa??o de fontes de energia renov?vel, como solar, e?lica e biomassa, na matriz energ?tica brasileira. Essa iniciativa visa reduzir a depend?ncia de combust?veis f?sseis e diminuir a emiss?o de gases de efeito estufa, promovendo um desenvolvimento sustent?vel e a gera??o de empregos verdes.;18496;Fortalecimento das Energias Renov?veis;16;N?o analisado;26/06/2024 14:38;1;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/85/proposals/18496;Energia;60;Plano Clima;;;;;56;Masculino;2,83E+15;6,93E+15;N?o cadastrado;militar_aposentado;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
Implementar pol?ticas rigorosas de conserva??o e recupera??o das florestas brasileiras, com especial foco na Amaz?nia e no Cerrado. Promover o reflorestamento, combater o desmatamento ilegal e incentivar pr?ticas de manejo florestal sustent?vel para preservar a biodiversidade e aumentar a capacidade de sequestro de carbono.;18497;Conserva??o e Recupera??o de Florestas;26;N?o analisado;26/06/2024 14:39;1;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/85/proposals/18497;Biodiversidade, prote??o e restaura??o florestal;60;Plano Clima;;;;;56;Masculino;3,30E+15;6,93E+15;N?o cadastrado;militar_aposentado;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
Promover a ado??o de pr?ticas urbanas sustent?veis, como a melhoria do transporte p?blico, a expans?o de ciclovias e a cria??o de ?reas verdes urbanas. Incentivar a constru??o de edif?cios verdes e a implementa??o de solu??es de gest?o de res?duos e efici?ncia energ?tica para reduzir a pegada de carbono das cidades brasileiras.;18498;Desenvolvimento de Cidades Sustent?veis;15;N?o analisado;26/06/2024 14:40;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/85/proposals/18498;Res?duos e Economia Circular;60;Plano Clima;;;;;56;Masculino;2,77E+15;0;N?o cadastrado;militar_aposentado;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29172;"Implementar todos os componentes do Sistema Nacional de Cultura em 100% dos estados e munic?pios brasileiros	";1;N?o analisado;16/12/2024 17:06;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29172;Eixo 1 - Gest?o e participa??o;437;Plano Cultura;;;;;56;Masculino;6,93E+15;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29176;"Pol?tica p?blica de cultura de busca ativa implementada em todos os munic?pios.	";1;N?o analisado;16/12/2024 17:07;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29176;Eixo 2 - Fomento ? cultura;437;Plano Cultura;;;;;56;Masculino;6,93E+15;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29178;"Garantia de recursos exclusivamente para investimento em divulga??o ampla dos produtos culturais, priorizando as culturas tradicionais locais e perif?ricas.	Proposta realizada na Oficina da Para?ba";2;N?o analisado;16/12/2024 17:09;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29178;Eixo 2 - Fomento ? cultura;437;Plano Cultura;;;;;56;Masculino;1,10E+16;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29191;"Ampliar a frequ?ncia da popula??o brasileira a equipamentos culturais e ofertas culturais presenciais. 	";4;N?o analisado;16/12/2024 17:12;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29191;Eixo 5 - Infraestrutura, equipamentos e espa?os culturais;437;Plano Cultura;;;;;56;Masculino;1,61E+16;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29202;"Implementar uma l?gica algor?tmica que seja inclusiva e diversa, garantindo o acesso equitativo.	";1;N?o analisado;16/12/2024 17:16;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29202;Eixo 8 - Cultura digital e direitos digitais;437;Plano Cultura;;;;;56;Masculino;6,93E+15;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
"<p>	Proposta realizada na Oficina da Para?ba</p>";29204;Institui??o de pol?ticas p?blicas para mem?ria, preserva??o e acesso aos bens culturais no ambiente digital.;1;N?o analisado;16/12/2024 17:16;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29204;Eixo 8 - Cultura digital e direitos digitais;437;Plano Cultura;;;;;56;Masculino;6,93E+15;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29184;"Articular com universidades, institutos e escolas t?cnicas a implementa??o de forma??o nos n?veis t?cnicos, superior e especializa??es para o setor cultural em suas diversas linguagens art?sticas, com prioridade para as institui??es p?blicas de ensino das regi?es norte e nordeste.	";2;N?o analisado;16/12/2024 17:10;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29184;Eixo 4 - Forma??o;437;Plano Cultura;;;;;56;Masculino;1,10E+16;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
